Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Berniškiai,3106,Krinčinas–Ličiūnai–Mieliūnai,15,2023-11-15,09:00:00,negative,1,80.3,normal,positive,4,68.48,normal
IX fortas,A1,Vilnius–Kaunas–Klaipėda,16,2023-11-15,09:02:35,negative,155,50.98,slow,positive,192,84.44,normal
Ražiškiai,139,Kauno HE–Garliava,15,2023-11-15,09:01:23,positive,93,76.56,heavy,negative,113,76.23,heavy
Alkiškiai,156,Naujoji Akmenė–Venta,15,2023-11-15,09:01:39,negative,20,79.45,heavy,positive,34,81.83,heavy
Juodeikiai,219,Bugeniai–Pikeliai,15,2023-11-15,09:01:38,negative,14,88.49,normal,positive,20,91.27,normal
Galalauskiai,1416,Didžiasalis–Navikai–Vosiūnai,15,2023-11-15,09:00:00,positive,0,,normal,negative,5,66.22,normal
Ožkabaliai,5107,Vilkaviškis–Kalvarija,15,2023-11-15,09:00:01,negative,2,82.95,normal,positive,0,,normal
Kaziuliai,180,Druskininkai–Leipalingis–Seirijai,15,2023-11-15,09:01:26,positive,33,88.03,normal,negative,30,93.59,normal
Mykoliškiai,A3,Vilnius–Minskas,15,2023-11-15,09:00:40,negative,33,76.74,heavy,positive,15,83.73,heavy
Kirtimai I,A19,Vilniaus pietinis aplinkkelis,15,2023-11-15,09:01:14,negative,327,82.72,normal,positive,392,85.97,normal
Lupenka,102,Vilnius–Švenčionys–Zarasai,15,2023-11-15,09:01:13,positive,17,86.82,normal,negative,13,87.2,normal
Verpena,158,Kelmė–Užventis,15,2023-11-15,09:01:39,negative,18,76.67,heavy,positive,8,81.5,heavy
Timsriai,4226,Usėnai–Natkiškiai–Griežpelkiai I,15,2023-11-15,09:00:37,negative,1,52.6,heavy,positive,1,70.6,heavy
Lazdėnai,4735,Rykantai–Lazdėnai,15,2023-11-15,09:00:00,negative,5,58.74,heavy,positive,0,,normal
Aukštadvaris,A16,Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:41,positive,14,84.89,normal,negative,19,83.95,normal
Meištai,1912,Rupinai–Griškabūdis–Kudirkos Naumiestis,15,2023-11-15,09:00:09,negative,1,43.3,slow,positive,3,60.47,normal
Giedraičiai,A14,Vilnius–Utena,15,2023-11-15,09:00:00,negative,34,92.45,normal,positive,49,93.72,normal
Poškiškė,1709,Seredžius–Juodaičiai–Mituva–Keryvai,15,2023-11-15,09:00:29,positive,2,34.6,slow,negative,3,48.33,slow
Smilgiai,A9,Panevėžys–Šiauliai,15,2023-11-15,09:00:00,positive,25,88.0,normal,negative,55,85.77,normal
Margininkai,3019,Mairiškiai–Žibartoniai–Gudžiūnai,15,2023-11-15,09:00:39,positive,0,,normal,negative,0,,normal
Markutiškės,A16,Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:08,positive,23,81.03,normal,negative,33,81.42,normal
Šalnaičiai,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-15,09:00:00,negative,31,88.98,normal,positive,33,87.04,normal
Ukmergės miestas,115,Ukmergė–Molėtai,15,2023-11-15,09:01:11,negative,17,36.59,slow,positive,20,33.69,slow
Rūdninkai,176,Pirčiupiai–Jašiūnai,15,2023-11-15,09:01:23,negative,0,,normal,positive,0,,normal
Tvirai,192,Skapiškis–Pandėlys,15,2023-11-15,09:01:11,negative,2,77.45,heavy,positive,1,104.2,heavy
Jadvygiškiai,A14,Vilnius–Utena,15,2023-11-15,09:00:40,negative,184,81.51,normal,positive,133,70.3,normal
Gynėvė,A1,Vilnius–Kaunas–Klaipėda,16,2023-11-15,09:02:35,positive,125,106.79,normal,negative,95,81.61,slow
Paežeriai,A14,Vilnius–Utena,15,2023-11-15,09:00:43,positive,102,95.44,normal,negative,119,94.23,normal
Yliai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,99,107.8,heavy,negative,91,104.78,heavy
